Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,coordinates,latitude,longitude
1102900,2018-04-29,Florida,West Palm Beach,1969 S Military Trail,1,3,View Incident View Source,"26.6483127, -80.1125292",26.648312699999998,-80.1125292
1102559,2018-04-28,North Carolina,Maxton,Modest Rd,0,5,View Incident View Source,"34.8141656, -79.3080068",34.8141656,-79.3080068
1100691,2018-04-25,Arkansas,Pine Bluff,300 block of West 24th Street,0,4,View Incident View Source,"34.205196, -92.0050351",34.205196,-92.00503509999999
1100852,2018-04-25,Missouri,Saint Louis,1151 Northdale Dr,3,1,View Incident View Source,"38.7871672, -90.2022867",38.7871672,-90.2022867
1099516,2018-04-24,Michigan,Flint,2200 block of Ave A,0,4,View Incident View Source,"43.0362888, -83.69750479999999",43.0362888,-83.69750479999998
1096826,2018-04-22,Tennessee,Antioch,3571 Murfreesboro Pike,4,3,View Incident View Source,"36.0505938, -86.6155754",36.050593799999994,-86.61557540000001
1097700,2018-04-22,Louisiana,New Orleans,1900 block of St Roch Ave,2,4,View Incident View Source,"29.9769029, -90.0533189",29.9769029,-90.05331890000001
1096232,2018-04-21,Pennsylvania,Philadelphia,1800 block of W Diamond St,2,2,View Incident View Source,"39.9853633, -75.1631385",39.985363299999996,-75.1631385
1096388,2018-04-20,California,San Francisco,3rd Street and Quesada Ave,1,5,View Incident View Source,"37.7331886, -122.3912154",37.7331886,-122.39121540000001
1095043,2018-04-18,North Carolina,Asheville,73 Hansel Ave,4,3,View Incident View Source,"35.591598, -82.583641",35.591598,-82.583641
1092279,2018-04-15,Louisiana,Shreveport,6956 Jewella Ave,0,6,View Incident View Source,"32.4434668, -93.7982442",32.4434668,-93.7982442
1088778,2018-04-09,California,Vallejo,201 Maine St,0,4,View Incident View Source,"38.0984543, -122.2579445",38.09845429999999,-122.25794450000001
1087153,2018-04-08,North Carolina,Hickory,247 1st Ave NW,1,3,View Incident View Source,"35.7330408, -81.3413595",35.7330408,-81.3413595
1087021,2018-04-08,Florida,Miami,1300 block of NW 63rd Terrace,2,2,View Incident View Source,"25.8336233, -80.2187766",25.8336233,-80.2187766
1086773,2018-04-06,Florida,Jacksonville,6100 block of Transylvania Ave,0,4,View Incident View Source,"30.2490897, -81.74124259999999",30.2490897,-81.74124259999998
1086966,2018-04-06,Virginia,Virginia Beach,5800 block of Pickering St,1,3,View Incident View Source,"36.8586506, -76.17792399999999",36.8586506,-76.17792399999998
1084847,2018-04-04,Louisiana,New Orleans,3300 Garden Oaks Drive,2,2,View Incident View Source,"29.9218287, -90.0220087",29.921828700000002,-90.0220087
1083552,2018-04-02,Texas,Houston,8500 block of Redcliff Rd,1,3,View Incident View Source,"29.9040315, -95.5223951",29.9040315,-95.52239509999998
1083011,2018-04-01,Alabama,Mobile,3556 Halls Mill Rd,1,4,View Incident View Source,"30.6387232, -88.12284679999999",30.6387232,-88.12284679999998
1082835,2018-04-01,Michigan,Saginaw,600 block of Yale St,0,5,View Incident View Source,"43.4191787, -83.9818929",43.4191787,-83.9818929
1082273,2018-03-31,New Jersey,Asbury Park,Atlantic Ave and Monmouth Ave,0,5,View Incident View Source,"40.2164486, -74.0187318",40.21644860000001,-74.0187318
1080234,2018-03-29,Texas,Plano,7401 Alma Dr,1,3,View Incident View Source,"33.0772705, -96.7122752",33.077270500000004,-96.7122752
1080442,2018-03-29,New Jersey,Camden,Kaighn Ave and Haddon Ave,0,4,View Incident View Source,"39.932099, -75.102313",39.932099,-75.102313
1077180,2018-03-24,Utah,Salt Lake City (West Valley City),3180 South 5600 West,0,4,View Incident View Source,"40.7022257, -112.0258566",40.70222570000001,-112.02585659999998
1074886,2018-03-21,California,San Francisco,949 Geneva Ave,1,5,View Incident View Source,"37.7162671, -122.4403103",37.7162671,-122.4403103
1071427,2018-03-17,Kentucky,Louisville,2928 W Kentucky St,0,7,View Incident View Source,"38.2436435, -85.8023972",38.2436435,-85.8023972
1071381,2018-03-17,Illinois,Harvey,16700 S Halsted St,0,4,View Incident View Source,"41.5867713, -87.63718469999999",41.5867713,-87.63718469999998
1078612,2018-03-13,Florida,Macclenny,South Blvd,0,4,View Incident View Source,"30.2779977, -82.1133356",30.2779977,-82.11333559999998
1068615,2018-03-12,California,Modesto,2000 block of Robertson Rd,0,4,View Incident View Source,"37.6130272, -121.0234645",37.613027200000005,-121.0234645
1067061,2018-03-11,Indiana,South Bend,800 block of E Dayton St,0,6,View Incident View Source,"41.6559621, -86.2392471",41.6559621,-86.23924709999999
1067264,2018-03-11,Illinois,Champaign,700 block of N Hickory St,1,3,View Incident View Source,"40.1223226, -88.2421799",40.122322600000004,-88.24217990000001
1067296,2018-03-11,Michigan,Saginaw,Cumberland Ave and Hess St,1,4,View Incident View Source,"43.4007491, -83.9128277",43.400749100000006,-83.9128277
1066594,2018-03-09,North Carolina,Wadesboro,1300 E Caswell St,3,1,View Incident View Source,"34.9626681, -80.0531649",34.9626681,-80.05316490000001
1064514,2018-03-07,Alabama,Hurtsboro,531 Main Street,2,2,View Incident View Source,"32.2405078, -85.4147643",32.240507799999996,-85.41476429999999
1062466,2018-03-04,Illinois,Rockford,426 Howard Ave,1,4,View Incident View Source,"42.2725143, -89.12244989999999",42.2725143,-89.12244989999998
1061748,2018-03-03,New York,Brooklyn,Kings Highway and Utica Avenue,1,3,View Incident View Source,"40.6340822, -73.9285005",40.6340822,-73.9285005
1062123,2018-03-03,Florida,Miami,1300 Block of NW 62nd Ln,0,4,View Incident View Source,"25.8324607, -80.2187015",25.8324607,-80.2187015
1059559,2018-02-27,Connecticut,Bridgeport,1306 Stratford Ave,0,4,View Incident View Source,"41.1785532, -73.1647334",41.1785532,-73.1647334
1057518,2018-02-26,Michigan,Detroit,22700 Fenkell Ave,5,0,View Incident View Source,"42.4004949, -83.26597760000001",42.4004949,-83.26597760000001
1056240,2018-02-23,Florida,Palm Beach Gardens (Riviera Beach),W 23rd St,1,3,View Incident View Source,"26.7818358, -80.0768538",26.7818358,-80.0768538
1052372,2018-02-18,Texas,San Antonio,2893 Cinema Ridge,0,5,View Incident View Source,"29.4632441, -98.6204053",29.4632441,-98.6204053
1052035,2018-02-17,Kansas,Kansas City,1615 Minnesota,1,7,View Incident View Source,"39.1153051, -94.6477391",39.1153051,-94.6477391
1051407,2018-02-17,Tennessee,Memphis,3188 N Watkins Ave,0,5,View Incident View Source,"35.2127003, -90.0031329",35.212700299999995,-90.0031329
1051291,2018-02-16,Oklahoma,Oklahoma City,1700 block of SW 15,1,3,View Incident View Source,"35.4494428, -97.54403980000001",35.44944279999999,-97.5440398
1049217,2018-02-14,Florida,Pompano Beach (Parkland),5901 Pine Island Rd,17,17,View Incident View Source,"26.304503, -80.26945700000002",26.304503000000004,-80.26945700000002
1049024,2018-02-13,Louisiana,New Orleans,5400 block of Andry St,2,3,View Incident View Source,"29.9665222, -90.0169389",29.9665222,-90.01693890000001
1047761,2018-02-11,Michigan,Detroit,19432 Lamont St,4,3,View Incident View Source,"42.4377773, -83.0548264",42.4377773,-83.05482640000001
1046961,2018-02-10,Kentucky,Paintsville,413 Mill St,5,0,View Incident View Source,"37.8162113, -82.81063960000002",37.81621129999999,-82.81063960000002
1044234,2018-02-07,Florida,Lake Worth (Lantana),I-95 and Lantana Ave,3,3,View Incident View Source,"26.5888874, -80.06715679999999",26.5888874,-80.06715679999998
1043447,2018-02-05,Colorado,Colorado Springs,4225 Galley Rd,2,4,View Incident View Source,"38.8464611, -104.7500658",38.846461100000006,-104.75006579999999
1042280,2018-02-03,Ohio,Cleveland (Garfield Heights),11321 Broadway Ave,1,5,View Incident View Source,"41.4335949, -81.6050264",41.433594899999996,-81.60502640000001
1893327,2021-01-03,Texas,Houston,2900 Travis St,1,4,View Incident View Source,"29.7437558, -95.3771472",29.743755800000002,-95.37714720000001
1893754,2021-01-03,Florida,Miami,3632 NW 25th Ave,0,6,View Incident View Source,"25.8096843, -80.2386226",25.8096843,-80.23862259999999
1893601,2021-01-03,Louisiana,Shreveport,6900 block of Jewella Ave,2,3,View Incident View Source,"32.4443755, -93.798176",32.4443755,-93.798176
1893877,2021-01-03,California,Santa Barbara,1200 block of Liberty St,2,2,View Incident View Source,"34.4215939, -119.6710195",34.421593900000005,-119.6710195
1893744,2021-01-03,Florida,Miami,10525 NW 24th Ave,0,8,View Incident View Source,"25.8708616, -80.2389276",25.8708616,-80.2389276
1892034,2021-01-01,Arkansas,Fort Smith,3211 Towson Ave,0,7,View Incident View Source,"35.3529093, -94.4217055",35.3529093,-94.4217055
1892704,2021-01-01,Texas,Amarillo,2650 Dumas Dr,1,3,View Incident View Source,"35.241882, -101.8302858",35.241882000000004,-101.8302858
1892114,2021-01-01,Iowa,Sioux City,2637 S Walker St,1,4,View Incident View Source,"42.4629178, -96.3317879",42.46291779999999,-96.33178790000001
1891720,2021-01-01,Illinois,Galesburg,1000 block of Monroe St,0,4,View Incident View Source,"40.95920599999999, -90.38174330000001",40.95920599999999,-90.3817433
1891461,2020-12-31,Indiana,Indianapolis,8215 Center Run Road,1,3,View Incident View Source,"39.9067392, -86.0570729",39.906739200000004,-86.05707290000001
1890946,2020-12-31,Oregon,Happy Valley,9200 block of SE Idleman Rd,0,4,View Incident View Source,"45.4505414, -122.5687215",45.4505414,-122.56872150000001
1886974,2020-12-26,Illinois,Rockford,4007 E State St,3,3,View Incident View Source,"42.2647948, -89.03592789999999",42.2647948,-89.03592789999998
1886913,2020-12-26,Florida,Tampa,N 20th St and E 7th Ave,2,2,View Incident View Source,"27.96025, -82.436748",27.96025,-82.436748
1887059,2020-12-26,Massachusetts,Lynn,Washington St and Quincy Ter,1,5,View Incident View Source,"42.4672412, -70.95251929999999",42.467241200000004,-70.95251929999998
1886849,2020-12-26,Florida,Miami,NW 61st St and NW 13th Ave,1,3,View Incident View Source,"25.8311789, -80.218645",25.831178899999998,-80.218645
1886372,2020-12-25,Florida,Boynton Beach,Martin Luther King Jr Blvd and N Seacrest Blvd,1,4,View Incident View Source,"26.5360983, -80.0642731",26.5360983,-80.0642731
1886721,2020-12-25,Arkansas,Atkins,5180 Pine Ridge Rd,5,0,View Incident View Source,"35.1987769, -92.99986659999999",35.1987769,-92.9998666
1886141,2020-12-24,Florida,Lakeland,1500 block of Amos Ave,1,4,View Incident View Source,"28.064273, -81.9671833",28.064272999999996,-81.9671833
1885251,2020-12-22,Mississippi,Meridian,Jeffrey Acres Rd,5,0,View Incident View Source,"32.2995035, -88.6609658",32.2995035,-88.6609658
1882214,2020-12-20,Connecticut,Bridgeport,456 Connecticut Ave,2,2,View Incident View Source,"41.1789838, -73.1685162",41.1789838,-73.1685162
1881213,2020-12-19,Illinois,Chicago,8936 S Cottage Grove Ave,0,6,View Incident View Source,"41.7319051, -87.60500259999999",41.731905100000006,-87.60500259999998
1876727,2020-12-13,West Virginia,Elkview,1384 Cemetery Hill Dr,4,0,View Incident View Source,"38.43352429999999, -81.483313",38.43352429999999,-81.483313
1877043,2020-12-12,California,San Bernardino,900 block of N Sierra Way,1,3,View Incident View Source,"34.1161404, -117.2856434",34.1161404,-117.28564340000001
1876231,2020-12-12,New York,Copiague,2336 Great Neck Rd,2,2,View Incident View Source,"40.6855711, -73.4012269",40.685571100000004,-73.40122690000001
1876039,2020-12-12,New York,Brooklyn,574 Warren St,0,4,View Incident View Source,"40.6815793, -73.9822686",40.681579299999996,-73.9822686
1040815,2018-01-31,Missouri,Saint Louis,Goodfellow Blvd and Dr Martin Luther King Dr,0,4,View Incident View Source,"38.6720756, -90.2793779",38.6720756,-90.27937790000001
1037529,2018-01-28,Pennsylvania,Melcroft,1301 Indian Creek Valley Rd,5,0,View Incident View Source,"40.0518721, -79.3896038",40.051872100000004,-79.38960379999999
1037515,2018-01-28,Indiana,Indianapolis,1313 N Sherman Dr,2,3,View Incident View Source,"39.7851444, -86.10182979999999",39.78514439999999,-86.10182979999998
1038429,2018-01-28,Pennsylvania,Reading,123 S 3rd St,4,0,View Incident View Source,"40.3330622, -75.9316492",40.3330622,-75.93164920000001
1037438,2018-01-27,Kentucky,Bowling Green,645 Pearl Street,0,4,View Incident View Source,"37.0105025, -86.45094999999999",37.0105025,-86.45094999999998
1037541,2018-01-27,California,Los Angeles,243 East 119th St,0,5,View Incident View Source,"33.924875, -118.2702264",33.924875,-118.2702264
1035803,2018-01-25,District of Columbia,Washington,1600 block of Kenilworth Ave NE,0,4,View Incident View Source,"38.9115996, -76.93520529999999",38.9115996,-76.93520529999998
1033262,2018-01-23,Kentucky,Benton,416 High School Rd,2,14,View Incident View Source,"36.9128027, -88.3327633",36.9128027,-88.3327633
1034205,2018-01-23,Pennsylvania,Philadelphia,N 24th St and Ridge Ave,0,4,View Incident View Source,"39.9816628, -75.1739",39.981662799999995,-75.1739
1032393,2018-01-21,Florida,Orlando,3101 Willow Bend Blvd,0,4,View Incident View Source,"28.582257, -81.4441609",28.582257000000002,-81.4441609
1031851,2018-01-21,Illinois,Chicago,3200 W Division St,0,4,View Incident View Source,"41.90283410000001, -87.7069192",41.90283410000001,-87.7069192
1029095,2018-01-17,District of Columbia,Washington,2000 block of 16th St SE,1,3,View Incident View Source,"38.8653278, -76.982177",38.865327799999996,-76.98217700000001
1042072,2018-01-15,Florida,Alachua,14223 NW 156th Pl,0,5,View Incident View Source,"29.798494, -82.497143",29.798494,-82.49714300000001
