,Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,coordinates,latitude,longitude
4782,1439765,"July 04, 2019",California,Fresno,4700 block of E Hamilton Ave,1,3,View Incident View Source,"36.7245752, -119.7409002",36.7245752,-119.7409002
4783,1439042,"July 03, 2019",Texas,Katy,5507 Everhart Manor Ln,2,3,View Incident View Source,"29.7177492, -95.7969688",29.7177492,-95.7969688
4784,1438602,"July 02, 2019",Missouri,Saint Louis (Wellston),6250 Page Ave,0,4,View Incident View Source,"38.6712314, -90.2935766",38.6712314,-90.2935766
4785,1437094,"July 01, 2019",Maryland,Baltimore,1200 block of N Luzerne Ave,0,4,View Incident View Source,"39.3049145, -76.5815013",39.3049145,-76.5815013
4786,1435804,"June 30, 2019",California,Oakland,3000 block of Brookdale Ave,0,4,View Incident View Source,"37.7923949, -122.2155025",37.7923949,-122.2155025
4787,1436545,"June 30, 2019",California,Yucaipa,12700 block of California St,0,5,View Incident View Source,"34.0228992, -117.0392212",34.0228992,-117.0392212
4788,1436254,"June 30, 2019",Texas,Dallas,3535 Munger Ave,2,2,View Incident View Source,"32.7980098, -96.78981019999999",32.7980098,-96.78981019999999
4789,1435578,"June 30, 2019",New York,Bay Shore,Farragut Ave,0,6,View Incident View Source,"40.74698799999999, -73.26109919999999",40.74698799999999,-73.26109919999999
4790,1435041,"June 29, 2019",Connecticut,Hartford,Judson St and Martin St,0,4,View Incident View Source,"41.7893425, -72.6799544",41.7893425,-72.6799544
4791,1435297,"June 29, 2019",Louisiana,Gray,2700 block of W Park Ave,0,4,View Incident View Source,"29.70844809999999, -90.7912856",29.70844809999999,-90.7912856
4792,1434931,"June 29, 2019",Illinois,Chicago,2400 block of W Jackson Blvd,0,5,View Incident View Source,"41.8776692, -87.68655799999999",41.8776692,-87.68655799999999
4793,1435028,"June 29, 2019",Louisiana,Baton Rouge,7132 Florida Blvd,0,7,View Incident View Source,"30.4511151, -91.1157084",30.4511151,-91.1157084
4794,1434882,"June 28, 2019",New Jersey,Paterson,50 block of Jefferson St,0,4,View Incident View Source,"40.925607, -74.1711459",40.925607,-74.1711459
4795,1434602,"June 28, 2019",Connecticut,Hamden,937 Choate Ave,0,5,View Incident View Source,"41.4219256, -72.9375733",41.4219256,-72.9375733
4796,1434971,"June 28, 2019",Georgia,Atlanta,Ira St and Bass St SW,0,7,View Incident View Source,"33.7356464, -84.3999789",33.7356464,-84.3999789
4797,1434893,"June 28, 2019",New Jersey,Jersey City,167 Armstrong Ave,0,4,View Incident View Source,"40.7027342, -74.0873695",40.7027342,-74.0873695
4798,1435217,"June 28, 2019",Minnesota,Saint Paul,909 Desoto St,0,5,View Incident View Source,"44.9686572, -93.0815016",44.9686572,-93.0815016
4799,1432989,"June 27, 2019",Georgia,Atlanta,600 block of Parkway Dr,0,7,View Incident View Source,"33.7708803, -84.3730704",33.7708803,-84.3730704
4800,1934181,"February 20, 2021",Illinois,Springfield,1100 block of S Grand Ave W,1,4,View Incident View Source,"39.7869007, -89.6699773",39.7869007,-89.6699773
4801,1934077,"February 20, 2021",Louisiana,Metairie,6719 Airline Dr,3,2,View Incident View Source,"29.978333, -90.2082093",29.978333,-90.2082093
4802,1932479,"February 18, 2021",Louisiana,Baton Rouge,2047 N Foster Dr,1,3,View Incident View Source,"30.4673937, -91.1399873",30.4673937,-91.1399873
4803,1931288,"February 17, 2021",Pennsylvania,Philadelphia,5597 Old York Rd,0,8,View Incident View Source,"40.03888, -75.144406",40.03888,-75.144406
4804,1930463,"February 16, 2021",Florida,Saint Petersburg,2968 Emerson Ave S,3,1,View Incident View Source,"27.7654629, -82.67372259999999",27.7654629,-82.67372259999999
4805,1928557,"February 13, 2021",California,San Francisco,3rd St and Quesada Ave,0,6,View Incident View Source,"37.7331886, -122.3912154",37.7331886,-122.3912154
4806,1928594,"February 13, 2021",Indiana,Indianapolis,3800 block of N Sherman Dr,0,4,View Incident View Source,"39.8253431, -86.10270899999999",39.8253431,-86.10270899999999
4807,1928149,"February 13, 2021",California,Oakland,1000 block of Washington St,0,6,View Incident View Source,"37.8052818, -122.2721909",37.8052818,-122.2721909
4808,1928205,"February 13, 2021",North Carolina,Cary,101 Reed St,1,3,View Incident View Source,"35.7901411, -78.7628962",35.7901411,-78.7628962
4809,1926742,"February 11, 2021",Georgia,Columbus,2001 South Lumpkin Rd,1,4,View Incident View Source,"32.4156457, -84.952857",32.4156457,-84.952857
4810,1926701,"February 10, 2021",Georgia,Atlanta,62 Harwell Rd NW,0,4,View Incident View Source,"33.7544703, -84.4938471",33.7544703,-84.4938471
4811,1924892,"February 09, 2021",Texas,Houston,945 W Little York Rd,0,4,View Incident View Source,"29.8649326, -95.42335",29.8649326,-95.42335
