,incident_id,incident_date,state,city_county,address,number_killed,number_injured,latitude,longitude
85,1954379,2021-03-16,Georgia,Acworth,6468 Hwy 92,8,1,34.0881409,-84.5808034
86,1954950,2021-03-16,Arizona,Phoenix,6215 W Elm St,4,1,33.5059401,-112.1912943
87,1953309,2021-03-15,Indiana,Indianapolis,2300 block of N Harding St,1,4,39.7994816,-86.1875526
88,1953202,2021-03-14,Florida,Tampa,10101 US-92,0,4,27.9953528,-82.3349734
89,1952662,2021-03-14,Illinois,Chicago,2600 block of E 77th St,0,4,41.755633,-87.561257
90,1952281,2021-03-14,Illinois,Chicago,6798 block of S South Chicago Ave,2,13,41.7708355,-87.6127267
91,1952151,2021-03-13,New York,Brooklyn,917 Flushing Ave,0,5,40.7024045,-73.93614459999999
92,1951681,2021-03-13,Florida,Orlando,200 block of Ring Rd,1,3,28.5387883,-81.4513092
93,1952161,2021-03-13,Indiana,Indianapolis,300 block of N Randolph St,4,1,39.7704942,-86.128327
94,1951738,2021-03-13,Virginia,Richmond,5100 block of Richmond Henrico Tpke,2,4,37.6017766,-77.42488
95,1951476,2021-03-12,North Carolina,Greensboro,100 block of Huffman St,1,3,36.0745158,-79.7649424
96,1951383,2021-03-12,Texas,Austin,7408 Cameron Rd,0,4,30.3297826,-97.69063589999999
97,1950346,2021-03-11,New Mexico,Ohkay Owingeh (Chamita),89 Rio Arriba Co Rd 56,1,3,36.0700343,-106.1023748
98,1950471,2021-03-11,Pennsylvania,Philadelphia,1400 block of N 76th St,2,2,39.972905,-75.2661038
99,1949977,2021-03-10,Texas,Houston,6300 Ranchester Dr,3,1,29.7096843,-95.54584159999999
100,1948233,2021-03-08,Florida,Clearwater,US-19 ALT and Drew St,1,3,27.9681608,-82.7959132
101,1948470,2021-03-07,Mississippi,Edwards,607 Wallace Dr,0,4,32.3386763,-90.59688589999999
102,1947241,2021-03-06,California,Yuba City,Countryside Dr and Littlejohn Dr,2,3,39.1254847,-121.6392332
103,1945999,2021-03-06,North Carolina,Fayetteville,200 block of Shads Ford Blvd,1,4,35.0798759,-79.0062215
104,1946991,2021-03-05,California,Compton,600 block of N Long Beach Blvd,1,4,33.9004289,-118.2081447
105,1944507,2021-03-04,District of Columbia,Washington,3900 Martin Luther King Jr Ave SW,0,5,38.8324029,-77.0087428
106,1943986,2021-03-03,Pennsylvania,Erie,2105 Buffalo Rd,2,3,42.133756,-80.0295015
107,1941382,2021-02-28,Ohio,Cincinnati,3600 block of Idlewild Ave,3,3,39.14493969999999,-84.4728071
108,1941669,2021-02-28,Indiana,East Chicago,1205 W Chicago Ave,0,4,41.6288662,-87.4868211
109,1940791,2021-02-28,Delaware,Dover,21 S Little Creek Rd,0,4,39.1577267,-75.5086075
110,1941647,2021-02-28,South Carolina,Mccormick,437 Talbert Rd,0,4,33.9078323,-82.3120271
111,1941444,2021-02-28,Louisiana,Shreveport,4914 Mansfield Rd,0,5,32.4642785,-93.7760819
112,1941210,2021-02-28,Texas,Houston,13484 Northwest Fwy,0,4,29.8537969,-95.5090831
113,1943271,2021-02-27,Mississippi,Columbus,1200 block of 7th St S,0,4,33.4840314,-88.42451849999999
